Rating,Days
5.0,736250.0
5.0,736281.0
5.0,735990.0
5.0,736262.0
5.0,735260.0
5.0,735878.0
5.0,735253.0
5.0,735544.0
5.0,734919.0
4.0,735974.0
5.0,736002.0
4.0,735161.0
5.0,735927.0
5.0,735186.0
4.0,734482.0
5.0,734797.0
5.0,734108.0
5.0,735212.0
5.0,735955.0
4.0,734892.0
5.0,736256.0
3.0,735561.0
5.0,735919.0
5.0,735974.0
4.0,735978.0
5.0,736003.0
3.0,735880.0
5.0,735968.0
5.0,735953.0
5.0,734835.0
5.0,734112.0
5.0,736295.0
5.0,734478.0
5.0,734098.0
4.0,734405.0
5.0,736259.0
5.0,735963.0
5.0,735927.0
5.0,734824.0
5.0,735925.0
3.0,736281.0
4.0,733779.0
5.0,735945.0
4.0,734850.0
5.0,732354.0
5.0,733731.0
5.0,734839.0
5.0,733693.0
5.0,734893.0
5.0,735987.0
5.0,736294.0
5.0,732666.0
4.0,732666.0
5.0,732664.0
5.0,732721.0
5.0,731926.0
5.0,732681.0
5.0,732665.0
5.0,732662.0
5.0,732662.0
5.0,732665.0
5.0,735162.0
4.0,733396.0
4.0,732936.0
5.0,736242.0
5.0,732962.0
5.0,731577.0
5.0,732677.0
5.0,735904.0
5.0,735904.0
5.0,735579.0
5.0,732697.0
5.0,731190.0
5.0,731189.0
5.0,731191.0
5.0,731192.0
5.0,732667.0
5.0,731194.0
5.0,731190.0
5.0,731196.0
5.0,731222.0
4.0,731188.0
5.0,731192.0
5.0,732677.0
4.0,731190.0
5.0,734049.0
4.0,731196.0
5.0,733776.0
5.0,731192.0
5.0,731190.0
5.0,733450.0
5.0,731192.0
5.0,731189.0
5.0,735953.0
5.0,734887.0
4.0,732662.0
5.0,735959.0
5.0,731925.0
4.0,732664.0
5.0,731191.0
4.0,731261.0
5.0,731181.0
5.0,735173.0
5.0,735966.0
5.0,731190.0
5.0,732680.0
5.0,732664.0
5.0,731190.0
5.0,731188.0
5.0,733062.0
5.0,731188.0
